"sci_nostopwords";"sci_withstopwords";"web_nostopwords";"web_withstopwords";"task"
0.982876712328767;0.977056277056277;0.982410982410982;0.980601569311247;"javalang.javaisland"
0.991034836065574;0.984749034749035;0.975225225225225;0.95017559262511;"matlablang.matlabregion"
0.989010989010989;0.994534412955466;0.986457590876693;0.971610915492958;"pythonlang.pythonserpent"
0.96302729528536;0.866131191432396;0.948537578674565;0.92975040257649;"rlang.rcorrelation"
0.98552036199095;0.967309145880574;0.960184552289815;0.952621452621453;"javalang.javaisland"
0.998733108108108;0.992668338799923;0.981791155704199;0.965112689101575;"matlablang.matlabregion"
0.991208791208791;0.98341950436798;0.988865197820422;0.964675201517307;"pythonlang.pythonserpent"
0.957268452259252;0.922404661016949;0.94520202020202;0.905742145178765;"rlang.rcorrelation"
0.994634473507713;0.986805104910231;0.975040584415584;0.950246710526316;"javalang.javaisland"
0.989864218779881;0.981185014028718;0.991869918699187;0.961603613777527;"matlablang.matlabregion"
0.996570644718793;0.995028409090909;0.98135593220339;0.980433632998414;"pythonlang.pythonserpent"
0.952080706179067;0.950135101940555;0.886828644501279;0.869178082191781;"rlang.rcorrelation"
0.993930986648171;0.988514173998045;0.967729468599034;0.966282894736842;"javalang.javaisland"
0.997808219178082;0.97638136511376;0.990941228457799;0.954861111111111;"matlablang.matlabregion"
0.990942028985507;0.990485074626866;0.993740219092332;0.989477863807822;"pythonlang.pythonserpent"
0.958454810495627;0.922880116959064;0.889312169312169;0.927490234375;"rlang.rcorrelation"
0.989147286821705;0.973204994797086;0.982844770153231;0.922712185870081;"javalang.javaisland"
0.997359154929577;0.991869918699187;0.98458317472402;0.979883192731992;"matlablang.matlabregion"
0.993269230769231;0.985507246376812;0.985569985569986;0.984823284823285;"pythonlang.pythonserpent"
0.939141414141414;0.935721062618596;0.893468795355588;0.825988700564972;"rlang.rcorrelation"
0.989230769230769;0.967318982387475;0.963247863247863;0.968571428571429;"javalang.javaisland"
0.993429951690821;0.98875;0.976851851851852;0.922820109976434;"matlablang.matlabregion"
0.992;0.989152542372881;0.986194029850746;0.972242249459265;"pythonlang.pythonserpent"
0.946649316851008;0.925998263888889;0.898538011695906;0.874897624897625;"rlang.rcorrelation"
0.995138888888889;0.99098905814203;0.96351136964569;0.925666199158485;"javalang.javaisland"
0.990818858560794;0.994099733536353;0.984901960784314;0.957746478873239;"matlablang.matlabregion"
1;0.986147186147186;0.990606653620352;0.953463203463203;"pythonlang.pythonserpent"
0.92998055015282;0.899300699300699;0.930495689655172;0.892109500805153;"rlang.rcorrelation"
0.98532196969697;0.996765601217656;0.943839943839944;0.938706467661692;"javalang.javaisland"
0.995588799386268;0.986262626262626;0.988102963443651;0.961836387681844;"matlablang.matlabregion"
0.987704918032787;0.985192307692308;0.978441127694859;0.946157094594595;"pythonlang.pythonserpent"
0.908602150537634;0.947163515016685;0.909562211981567;0.888120839733743;"rlang.rcorrelation"
0.99317738791423;0.982440737489025;0.985892455530566;0.978579234972678;"javalang.javaisland"
0.993167701863354;0.981794294294294;0.981325863678805;0.939428571428572;"matlablang.matlabregion"
0.992921492921493;0.991735537190083;0.996018735362998;0.961988304093567;"pythonlang.pythonserpent"
0.938705738705739;0.939296439296439;0.88188368502316;0.871205357142857;"rlang.rcorrelation"
0.985551485551486;0.982312925170068;0.944851444851445;0.919087837837838;"javalang.javaisland"
0.989874925550923;0.98343685300207;0.987508218277449;0.940481813887577;"matlablang.matlabregion"
0.99469387755102;0.988495167970548;1;0.971875;"pythonlang.pythonserpent"
0.949142156862745;0.91025641025641;0.90729833546735;0.890019569471624;"rlang.rcorrelation"
0.987306555381673;0.970197999591753;0.980752595155709;0.908212560386473;"javalang.javaisland"
0.990865384615385;0.989765458422175;0.998294970161978;0.97542735042735;"matlablang.matlabregion"
0.997549565604812;0.992486338797814;0.989622249896222;0.984375;"pythonlang.pythonserpent"
0.938640132669983;0.926244343891403;0.962264150943396;0.866666666666667;"rlang.rcorrelation"
0.978526471677157;0.962683347713546;0.98202614379085;0.950684380032206;"javalang.javaisland"
